Date,Price,Open,High,Low,Vol.,Change 
12/02/2018,83.4889,83.5844,84.0406,81.6816,,1.12
11/25/2018,82.5607,80.9946,82.9456,80.7546,,1.32
11/18/2018,81.4831,84.9905,85.0658,81.4595,,-2.90
11/11/2018,83.9124,83.2429,84.9353,82.1902,,1.23
11/04/2018,82.8946,84.1127,84.6048,82.4909,,-1.18
10/28/2018,83.8847,85.1439,85.1496,83.0797,,-1.31
10/21/2018,84.9968,85.9032,86.1981,84.1318,,-1.11
10/14/2018,85.9472,86.6150,87.3156,85.6638,,-0.33
10/07/2018,86.2351,86.6152,87.4472,85.4899,,-0.76
09/30/2018,86.8993,85.2348,87.8955,85.0460,,1.99
09/23/2018,85.2010,84.3617,85.5742,84.3472,,0.95
09/16/2018,84.4025,82.2881,84.6058,82.0057,,2.36
09/09/2018,82.4586,82.5647,83.8612,82.2458,,-0.15
09/02/2018,82.5853,83.6878,83.7552,82.1861,,-1.37
08/26/2018,83.7360,83.5309,84.1460,83.0736,,0.05
08/19/2018,83.6904,83.4737,84.0482,82.9853,,0.41
08/12/2018,83.3457,83.9450,84.1234,82.0006,,-1.05
08/05/2018,84.2307,84.9580,85.8433,84.1838,,-0.79
07/29/2018,84.8999,84.9841,85.7047,83.8574,,0.07
07/22/2018,84.8391,83.6152,85.4600,83.3684,,1.38
07/15/2018,83.6830,83.7261,83.7631,82.2770,,-0.18
07/08/2018,83.8306,86.3524,86.4273,83.3627,,-2.76
07/01/2018,86.2079,87.1867,87.2161,85.1670,,-1.37
06/24/2018,87.4095,86.7452,87.6548,85.9531,,0.10
06/17/2018,87.3203,87.4074,87.9101,85.8075,,-0.44
06/10/2018,87.7026,90.1951,90.2194,87.6228,,-2.53
06/03/2018,89.9754,90.3094,90.4377,89.1641,,-0.53
05/27/2018,90.4524,90.8662,91.2438,89.8642,,-0.51
05/20/2018,90.9191,90.7965,91.9414,90.5098,,0.56
05/13/2018,90.4135,89.9315,90.7195,89.6271,,0.42
05/06/2018,90.0377,89.9477,90.5772,88.8611,,0.05
04/29/2018,89.9896,89.5766,90.1561,88.9797,,0.68
04/22/2018,89.3829,90.0114,90.0495,88.7582,,-0.52
04/15/2018,89.8496,89.0597,91.2955,88.6078,,0.64
